test_case,compile_time,run_time
11_add2.sy,0.135946,0.002121
21_if_test2.sy,0.154505,0.002294
75_max_flow.sy,0.166505,0.002867
76_n_queens.sy,0.164405,0.003388
37_dct.sy,0.191747,0.004888
13_sub2.sy,0.155857,0.002186
06_const_var_defn2.sy,0.161577,0.002852
92_register_alloc.sy,0.185849,0.003329
84_long_array2.sy,0.169710,0.002706
77_substr.sy,0.173040,0.002659
28_while_test3.sy,0.171904,0.002068
08_global_arr_init.sy,0.165757,0.002382
28_side_effect2.sy,0.195435,0.003090
78_side_effect.sy,0.166488,0.002298
23_if_test4.sy,0.154591,0.002161
07_const_var_defn3.sy,0.155416,0.002289
93_nested_calls.sy,0.173080,0.002786
33_while_if_test3.sy,0.144861,0.002245
41_unary_op2.sy,0.163559,0.002629
10_DFS.sy,0.166000,0.008061
12_addc.sy,0.158915,0.002106
03_branch.sy,0.154842,0.002342
36_rotate.sy,0.166026,0.023676
57_sort_test3.sy,0.163407,0.002727
21_union_find.sy,0.164752,0.003103
08_const_array_defn.sy,0.164356,0.002263
16_k_smallest.sy,0.161403,0.002284
67_reverse_output.sy,0.159037,0.002715
32_while_if_test2.sy,0.155319,0.002574
15_mul.sy,0.152291,0.002315
09_BFS.sy,0.169203,0.005747
95_float.sy,0.172273,0.002775
40_unary_op.sy,0.162960,0.002201
72_hanoi.sy,0.162272,0.002909
19_mod.sy,0.170454,0.002243
38_op_priority4.sy,0.170491,0.002269
29_break.sy,0.150631,0.002506
59_sort_test5.sy,0.161828,0.002895
69_expr_eval.sy,0.169719,0.002989
66_exgcd.sy,0.171085,0.002995
61_sort_test7.sy,0.162587,0.002725
81_skip_spaces.sy,0.159793,0.002739
64_calculator.sy,0.183840,0.002674
05_arr_defn4.sy,0.162757,0.002096
05_param_name.sy,0.152575,0.002074
37_op_priority3.sy,0.152704,0.002534
30_continue.sy,0.154548,0.002213
35_math.sy,0.169837,0.003757
34_arr_expr_len.sy,0.159275,0.002491
26_while_test1.sy,0.152954,0.002401
26_scope4.sy,0.171573,0.002795
15_graph_coloring.sy,0.172448,0.003140
74_kmp.sy,0.172220,0.002799
55_sort_test1.sy,0.204926,0.002384
45_comment1.sy,0.155954,0.002303
07_arr_init_nd.sy,0.160152,0.002054
88_many_params2.sy,0.163305,0.002330
34_multi_loop.sy,0.167701,0.010831
04_arr_defn3.sy,0.161579,0.002235
14_subc.sy,0.161440,0.002334
18_prim.sy,0.168967,0.003228
18_divc.sy,0.156842,0.002769
65_color.sy,0.168097,0.066241
86_long_code2.sy,0.441653,0.002349
32_many_params3.sy,0.170658,0.002224
22_matrix_multiply.sy,0.164816,0.002562
83_long_array.sy,0.168210,0.003097
60_sort_test6.sy,0.168278,0.002506
12_DSU.sy,0.163832,0.005076
39_fp_params.sy,0.177588,0.002805
31_many_indirections.sy,0.161615,0.002892
68_brainfk.sy,0.164589,0.003160
63_big_int_mul.sy,0.168520,0.002626
00_comment2.sy,0.152205,0.002261
20_sort.sy,0.175344,0.004637
85_long_code.sy,0.188248,0.002650
71_full_conn.sy,0.185122,0.002945
35_op_priority1.sy,0.153987,0.002212
96_matrix_add.sy,0.164542,0.002707
62_percolation.sy,0.167094,0.002596
82_long_func.sy,0.457863,0.003233
49_if_complex_expr.sy,0.161604,0.002785
11_BST.sy,0.165162,0.002910
79_var_name.sy,0.167504,0.002797
44_stmt_expr.sy,0.164020,0.002596
00_main.sy,0.163471,0.002382
06_func_name.sy,0.154337,0.002219
10_var_defn_func.sy,0.156781,0.002245
04_break_continue.sy,0.160638,0.002223
39_op_priority5.sy,0.161345,0.002451
30_many_dimensions.sy,0.265994,0.007374
22_if_test3.sy,0.155555,0.002037
17_div.sy,0.155329,0.002193
99_matrix_tran.sy,0.163933,0.002517
27_scope5.sy,0.176597,0.002197
01_multiple_returns.sy,0.154969,0.002142
48_assign_complex_expr.sy,0.160378,0.002391
23_json.sy,4.798404,0.002884
31_while_if_test1.sy,0.133390,0.002119
17_maximal_clique.sy,0.193527,0.004852
36_op_priority2.sy,0.148915,0.002246
80_chaos_token.sy,0.157064,0.002595
91_many_locals2.sy,0.157391,0.003097
56_sort_test2.sy,0.155930,0.002699
42_empty_stmt.sy,0.146978,0.002331
94_nested_loops.sy,0.192075,0.002893
25_while_if.sy,0.156794,0.002417
