test_case,compile_time,run_time
h-5-03.sy,0.120575,1.479384
h-9-02.sy,0.104700,0.028414
h-2-02.sy,0.095548,2.256155
h-4-03.sy,0.113435,0.154977
shuffle1.sy,2.506268,2.170404
01_mm1.sy,0.220550,0.068059
gameoflife-p61glidergun.sy,0.145419,0.171751
h-7-01.sy,0.385967,0.103741
h-5-02.sy,0.155831,1.540382
h-4-01.sy,0.105634,0.028400
h-2-03.sy,0.102715,3.243929
crypto-3.sy,0.107723,0.066844
if-combine1.sy,0.123089,0.022875
crypto-1.sy,0.118251,0.144247
01_mm2.sy,0.144303,0.172690
matmul1.sy,0.109242,0.111976
h-8-03.sy,0.132746,1.665556
sort_search.sy,0.100889,0.276777
03_sort3.sy,0.586091,0.476406
h-11-01.sy,0.203011,2.405389
04_spmv1.sy,0.176050,1.977611
shuffle0.sy,1.955618,0.372863
crypto-2.sy,0.202173,0.103239
03_sort2.sy,0.529466,48.349481
sl1.sy,0.312449,0.160938
h-8-02.sy,0.142545,1.646384
h-1-03.sy,0.101040,0.172269
h-4-02.sy,0.101100,0.015599
transpose2.sy,0.379903,0.292829
h-10-02.sy,0.169425,0.248948
sl3.sy,0.138626,0.048277
h-9-03.sy,0.109139,0.016924
fft1.sy,0.251852,23.281187
transpose1.sy,0.355917,0.038956
h-1-01.sy,0.123909,0.043748
h-1-02.sy,0.106144,0.018220
h-11-03.sy,0.222675,4.431351
fft0.sy,0.191399,0.029528
transpose0.sy,0.337175,0.029861
matmul3.sy,0.138882,0.181669
h-8-01.sy,0.141047,1.687358
01_mm3.sy,0.259291,0.131129
04_spmv2.sy,0.213736,0.037772
h-2-01.sy,0.112549,1.945045
if-combine3.sy,0.156703,0.244553
gameoflife-oscillator.sy,0.152232,0.113365
h-5-01.sy,0.140162,1.590104
h-10-03.sy,0.159952,0.488631
sl2.sy,0.621703,0.330247
h-11-02.sy,0.178849,1.144943
gameoflife-gosper.sy,0.149105,0.017612
shuffle2.sy,2.164908,0.673845
fft2.sy,0.325990,0.080242
matmul2.sy,0.130417,0.307801
04_spmv3.sy,0.209305,2.014176
if-combine2.sy,0.162612,0.151602
h-9-01.sy,0.110064,0.140708
h-10-01.sy,0.163187,0.124090
03_sort1.sy,0.653991,0.021345
